,year,country,Surface area (sq. km),Livestock production index (2004-2006 = 100),index,country_code,code
95,2016,Netherlands,41540.0,123.37,4332,A,NLD
96,2016,New Caledonia,18580.0,109.11,4347,A,NCL
97,2016,New Zealand,267710.0,116.87,4360,A,NZL
98,2016,Nicaragua,130370.0,126.28,4373,A,NIC
99,2016,Niger,1267000.0,103.86,4376,A,NER
100,2016,Nigeria,923770.0,118.9,4380,A,NGA
101,2016,Norway,625217.1094,108.98,4424,A,NOR
102,2016,Oman,309500.0,137.46,4453,A,OMN
103,2016,Pakistan,796100.0,137.32,4474,A,PAK
104,2016,Panama,75420.0,136.76,4487,A,PAN
105,2016,Papua New Guinea,462840.0,119.39,4502,A,PNG
106,2016,Paraguay,406751.9922,129.46,4516,A,PRY
107,2016,Peru,1285220.0,159.04,4529,A,PER
108,2016,Philippines,300000.0,126.91,4542,A,PHL
109,2016,Poland,312680.0,109.85,4555,A,POL
110,2016,Portugal,92225.5957,104.29,4568,A,PRT
111,2016,Qatar,11610.0,198.78,4610,A,QAT
112,2016,Romania,238400.0,84.73,4623,A,ROU
113,2016,Rwanda,26340.0,137.1,4639,A,RWA
114,2016,Samoa,2840.0,111.64,4654,A,WSM
115,2016,Saudi Arabia,2149690.0,140.3,4667,A,SAU
116,2016,Senegal,196710.0,125.22,4670,A,SEN
117,2016,Serbia,88360.0,100.86,4679,A,SRB
118,2016,Seychelles,460.0,103.36,4684,A,SYC
119,2016,Singapore,719.0000153,111.93,4697,A,SGP
120,2016,Slovenia,20675.0,89.62,4723,A,SVN
121,2016,South Africa,1219090.0,131.1,4732,A,ZAF
122,2016,Spain,505935.0,95.35,4775,A,ESP
123,2016,Sri Lanka,65610.0,112.83,4788,A,LKA
124,2016,Sudan,,,4857,A,SDN
125,2016,Suriname,163820.0,125.11,4872,A,SUR
126,2016,Sweden,447430.0,92.6,4885,A,SWE
127,2016,Switzerland,41290.400389999995,106.0,4899,A,CHE
128,2016,Tajikistan,141380.0,128.04,4924,A,TJK
129,2016,Tanzania,947300.0,132.78,4927,A,TZA
130,2016,Thailand,513120.0,131.25,4940,A,THA
131,2016,Togo,56790.0,143.11,4943,A,TGO
132,2016,Tonga,750.0,106.72,4958,A,TON
133,2016,Trinidad and Tobago,5130.0,120.58,4972,A,TTO
134,2016,Tunisia,163610.0,131.16,4976,A,TUN
135,2016,Turkey,785350.0,163.74,4989,A,TUR
136,2016,Uganda,241550.0,131.64,4992,A,UGA
137,2016,Ukraine,603550.0,97.46,5005,A,UKR
