Date,Arbitrage,CTA,Commodity,Distressed_Debt,Event_Driven,FOF,FX,ILS,Long_Short_Equity,Multi_Strategy,Relative_Value,UCITS
2009/1/31,-0.037197741,-0.037102795,-0.044676457,-0.045593283,-0.052300494,-0.041272066,-0.030540378,-0.031489902,-0.055658993,-0.044566129,-0.043740151,-0.053913
2009/2/28,-0.03616221,-0.033597148,-0.038254766,-0.044917999,-0.050522726,-0.038494562,-0.02959356,-0.029942374,-0.051648846,-0.041520952,-0.042443887,-0.050547159
2009/3/31,0.026692514,0.023080369,0.036338198,0.03847943,0.049682581,0.03204159,0.017862912,0.018602466,0.054411155,0.037487774,0.035980682,0.050428416
2009/4/30,0.018427167,0.011538962,0.018305513,0.030785683,0.039715482,0.020384922,0.010071255,0.009707099,0.040048055,0.025806779,0.027507774,0.03879572
2009/5/31,0.011413081,0.009283003,0.023573286,0.021467405,0.028641138,0.015495859,0.004303183,0.00580182,0.031779093,0.019764182,0.017913966,0.028206586
2009/6/30,0.00705071,0.009424175,0.004214362,0.00189145,-0.002369537,0.005355387,0.010565599,0.010523256,-0.003594535,0.003244426,0.003255117,-0.001907575
2009/7/31,0.02213118,0.019727639,0.023833995,0.027756522,0.032704488,0.024049369,0.017771366,0.017895883,0.034182012,0.02658496,0.026532094,0.033016425
2009/8/31,0.01075689,0.011576853,0.007540715,0.010881933,0.009900688,0.010205334,0.010454824,0.010264789,0.009036249,0.009914693,0.010950416,0.010735809
2009/9/30,0.019773641,0.018070182,0.021130305,0.024935884,0.030021396,0.021510192,0.015770062,0.015907324,0.031557505,0.024585037,0.024297831,0.031415092
2009/10/31,-0.007637801,-0.008575233,-0.005502864,-0.006067363,-0.005462306,-0.007336458,-0.008513399,-0.008249817,-0.005509307,-0.006944714,-0.007061834,-0.006487091
2009/11/30,0.008549652,0.007984259,0.009614982,0.011513905,0.014368305,0.009715663,0.006125446,0.006295316,0.015462747,0.011416192,0.011128163,0.015389238
2009/12/31,0.000678894,-0.00232331,-0.000850201,0.003151957,0.004835229,0.000576594,-0.000493034,-0.001110266,0.00422394,0.001125974,0.002320433,0.003061147
2010/1/31,-0.005301478,-0.002637651,-0.012589524,-0.012944375,-0.018902604,-0.008260902,-1.40E-05,-0.000648732,-0.021106512,-0.011239652,-0.010522752,-0.018019576
2010/2/28,0.008242667,0.007744478,0.008815988,0.009414997,0.009526945,0.008204637,0.007806407,0.007762555,0.008984301,0.008124618,0.008779589,0.008487858
2010/3/31,0.007230456,0.00465583,0.008487116,0.012187575,0.016384508,0.008744788,0.00368094,0.003578292,0.017429533,0.010755218,0.010988597,0.01609139
2010/4/30,0.013602113,0.013779348,0.011499168,0.013227258,0.012085706,0.012700354,0.014273667,0.01395833,0.010742688,0.012057366,0.013303086,0.011433338
2010/5/31,-0.00800086,-0.003591176,-0.01736722,-0.019845762,-0.028395304,-0.012313271,0.000529153,-0.000396524,-0.031397097,-0.016383891,-0.015841796,-0.026713767
2010/6/30,0.008169682,0.010787326,0.00958984,0.0056204,0.003229563,0.007498838,0.010053675,0.010565598,0.00281348,0.006983426,0.006232753,0.004251325
2010/7/31,0.015989001,0.013338217,0.02132913,0.02399801,0.030263019,0.018923945,0.010003119,0.010594217,0.032491815,0.022246724,0.021720527,0.030250822
2010/8/31,0.011306603,0.016618356,0.005826429,0.001965155,-0.005276909,0.008126705,0.017866263,0.01770429,-0.007427446,0.005246241,0.005103912,-0.002789074
2010/9/30,0.004488415,0.002494861,0.00947034,0.01000662,0.014889323,0.006983254,0.000322632,0.000760048,0.01693937,0.009081362,0.008483909,0.014416238
