Date,Arbitrage,CTA,Commodity,Distressed_Debt,Event_Driven,FOF,FX,ILS,Long_Short_Equity,Multi_Strategy,Relative_Value,UCITS
2009-01-31,0.0249661274387,0.00595187097918,0.013254042394500001,0.000796536594307,0.012925146449,0.0054317113472300005,0.00974394642359,0.0036354404864700003,-0.00325750398594,0.00828472152736,0.00663488345619,-0.0127428348318
2009-02-28,0.00523939023212,0.000569889903272,-0.005951912703770001,-0.018921979522,-0.0124573855537,-0.004646279873110001,0.00373468823703,0.00223295118399,-0.0159292912223,-0.00476742946554,-0.007008444796720001,-0.0205090372549
2009-03-31,0.019047408005399998,-0.010668238371100001,0.0071435490283,-0.005669937931670001,0.0284171360615,0.0008632821254509999,0.00245470402464,0.00278216141412,0.029431607889900003,0.0156257961831,0.0169735358357,0.0258259048337
2009-04-30,0.023698931641200002,0.0015952340526700002,0.0168817402287,0.047160684343400004,0.0674423698469,0.010208796269,3.72522742938e-05,0.00588410163189,0.0506753812598,0.0333697680856,0.0376646656671,0.0559574348811
2009-05-31,0.0304736893184,0.0419129105199,0.0749377140313,0.0624897874762,0.06628470125119999,0.030052459912099996,0.024856475766999998,0.00506871611838,0.060957804037,0.042578184953799995,0.0360614854156,0.050500817742
2009-06-30,0.0176680627544,-0.00895348318911,-0.0226507165269,0.0328723192135,0.0177070522554,0.0021519701187599997,-0.00400414805036,0.0133103965968,0.0047314907643,0.0101750139412,0.012225218956299999,0.00113757346988
2009-07-31,0.0230213927982,-0.00110374863112,0.0153511876606,0.0474597883367,0.0402979324001,0.0154787721809,0.00357036780509,0.0103490661691,0.0327443469295,0.0243051057068,0.031631511576400005,0.0354271673349
2009-08-31,0.0190351504191,0.010087723625200001,0.00359869876678,0.03228600403,0.0290441202813,0.0102485092506,-0.00292016030573,0.010253570937700001,0.0158562219371,0.011222241024099999,0.019962129960299998,0.0198231203634
2009-09-30,0.0198784974092,0.0110624499848,0.0154021635153,0.04901463825479999,0.0417991487049,0.0157317420051,0.00896192381984,0.0157741225978,0.0322020907976,0.0244958055778,0.0267780707428,0.0258377757009
2009-10-31,0.00805185529127,-0.00690949227061,0.0157674896931,0.0209616420649,0.00630251845707,-0.00143766420156,0.0032492068307499998,0.010626904040000001,-0.00631702318618,0.00593034968914,0.00591849957315,-0.0008352274100579999
2009-11-30,0.00650123759167,0.030948619851800002,0.034104553181,0.021133365571399998,0.0197242173688,0.00836506608455,0.00373198866579,0.00138086503846,0.0144280578173,0.0131141672992,0.00889960691739,0.008322830022670001
2009-12-31,0.0149139755144,-0.0109305780684,0.000591242603888,0.0229372918185,0.0299898748701,0.00589629185527,-8.75428398929e-05,0.00522269140899,0.0197898631191,0.010964028694600001,0.018701649567,0.0160368348606
2010-01-31,0.0074776622389,-0.015803318333600002,-0.026350264744100002,0.0282706194343,0.00976116736303,-0.00430967867433,0.00781684525711,0.00915502642235,-0.00881605614827,-0.0015803528882199999,0.0027899631984599996,-0.007586957337469999
2010-02-28,0.0084497516077,0.006538867363200001,-0.00144155581872,0.00902861931854,0.0132049773376,0.00200471481389,0.010874385120500001,0.00938036779548,0.00641519871023,0.00561455580837,0.0146516561505,0.00465256346627
2010-03-31,0.0132199337275,0.014169912887000001,0.0160519657743,0.028192227124,0.0334348586002,0.017014307152499998,0.00798996567179,0.00452103395446,0.0295256154421,0.0200521014582,0.017950608403199998,0.0299360030685
2010-04-30,0.00821778466421,0.0110809074831,0.027287424041300003,0.0264796361067,0.0191239897336,0.00839851594253,0.0014276404768799999,0.00485476038641,0.01213410866,0.00862301590086,0.0109210264798,0.00600971968326
2010-05-31,-0.015159987745900001,-0.00865115688004,-0.0320456065222,-0.0218425258497,-0.030481605748199997,-0.0247163276347,-0.00173880775673,0.00283013198274,-0.037495725779399997,-0.0198647034342,-0.014335727595600001,-0.030790986407
2010-06-30,-0.0007960705289239999,0.005107477967179999,0.0044355335483,-0.005920939960790001,-0.0133020771775,-0.0077365476578299995,-0.00490196554816,0.00157370793847,-0.0128571926796,-0.0034942889285500003,0.00208692346969,-0.00488815434879
2010-07-31,0.0164656841484,0.0038080026738900002,0.00692451034987,0.0163659687838,0.0228950967524,0.00677753652892,0.0096973379427,0.00512025625948,0.0209080896812,0.0154653344415,0.018583994655,0.017356408700799998
2010-08-31,0.00539363488798,0.0234665712408,0.0144200332721,0.00173846018816,-0.00555331048745,0.0013191643817199999,-9.422011473300001e-05,0.007506865637009999,-0.00670063380622,0.00395696294448,0.00599217032472,-0.000728071939503
